"","State","SHGs_Prom","VOs_Prom","CLFs_Prom","HHs_Mob","Num_RF","Amt_RF","Num_CIF","Amt_CIF","Num_MCP","eligible_RF","six_Month","SHGs_VOs"
"1","ASSAM",2561,129,17,27208,2536,283.15,769,361.5,3241,2282,1982,1567
"2","BIHAR",13841,797,7,162151,5584,741.75,4669,783.2,6451,8313,6068,9110
"3","CHHATTISGARH",3622,300,16,40816,3215,479.49,2746,1602.55,2592,3276,3367,3262
"4","GUJARAT",4897,111,4,47369,1620,190.33,775,366.79,886,2468,1587,1356
"5","JHARKHAND",8642,535,3,103707,4633,664.65,1774,1142.273,1817,6467,7834,3617
"6","KARNATAKA",2171,139,35,26283,449,59.25,2935,2732.14,4769,1133,3242,1456
"7","MADHYA PRADESH",1757,637,23,21304,3747,450.23,2965,1694.45,5544,3627,5828,4185
"8","MAHARASHTRA",10354,815,23,116205,4480,660.2,1932,939.25673,5421,8129,11831,8835
"9","ODISHA",2662,390,41,30238,1697,237.5,1817,927.32,1843,2352,923,3181
"10","RAJASTHAN",834,92,10,11307,535,79.2,399,437.4,402,536,604,655
"11","TAMIL NADU",19,0,0,235,0,0,664,275.2,660,4,660,16
"12","UTTAR PRADESH",8183,1250,3,94758,5596,783.6,3988,3502.35,4807,6372,6374,9464
"13","WEST BENGAL",8958,126,2,96446,5082,571.95,5583,2079.227,7723,5942,7200,4640
